0015923062101023               010101609042944020   0809                        
0015923062102013               010001709032943020   0869                        
0015923062103007               010001805022942019   0909                        
0015923062104007               010001718082941019   0879                        
0015923062105007               010001705032941018   0909                        
0015923062106010               010001705052940018   0919                        
0015923062107010               010001805042939019   0919                        
0015923062108016               010001809042939020   0919                        
0015923062109016               010001905052938020   0919                        
0015923062110013               010001914032936021   0919                        
0015923062111003               010001918082936021   0919                        
0015923062112007               010001918092935021   0929                        
0015923062113010               010002018052935021   0919                        
0015923062114020               010001918082934022   0839                        
0015923062115020               010001920112933022   0839                        
0015923062116013               010001923092933021   0849                        
0015923062117033               010001823102932021   0829                        
0015923062118026               010001820092933021   0819                        
0015923062119010               010001823062935021   0849                        
0015923062120007               010001923062936021   0859                        
0015923062121003               010001916062937021   0889                        
0015923062122003               010001916052937021   0887                        
0015923062123003               010001918052937021   0895                        
0015923062200003               010001923052936021   0899                        
0015923062201003               010001918052936020   0897                        
0015923062202007               010001925062936021   0888                        
0015923062203010               010001818022936021   0879                        
0015923062204010               010001927022937021   0869                        
0015923062205010               010001802022938021   0887                        
0015923062206007               010001802012939020   0868                        
0015923062207010               010001805022940021   0839                        
0015923062208016               010001736022940022   0768                        
0015923062209016               010001811052940023   0737                        
0015923062210023               010001918062940024   0705                        
0015923062211023               010001918072940024   0746                        
0015923062212030               010001918092939023   0784                        
0015923062213039               010001818112938024   0736                        
0015923062214043               010001914052939024   0747                        
0015923062215033               010001718072938026   0593                        
0015923062216033               010001720062938026   0583                        
0015923062217046               010001720052937025   0655                        
0015923062218052               010001718062937024   0633                        
0015923062219                  010001720042939023   0685                        
0015923062220098               010001614042940023   0686                        
0015923062221131               010001723042941022   0766                        
0015923062222102               010001725022943022   0766                        
0015923062223082               010001629052943022   0705                        
0015923062300                  010001616032944022   0693                        
0015923062301                  010001509042944022   0646                        
0015923062302075               010001616012944022   0686                        
0015923062303                  010101632032946022   0680                        
0015923062304                  010101532062947022   0671                        
0015923062305                  010101632032949021   0713                        
0015923062306                  010101600012951021   0753                        
0015923062307                  010101627022952022   0712                        
0015923062308                  010101711052955025   0612                        
0015923062309                  010101820072956025   0673                        
0015923062310                  010101811072958026   0612                        
0015923062311                  010101711092959026   0582                        
0015923062312                  010101711072959026   0583                        
0015923062313036               010101711082959026   0607                        
0015923062314036               010101811062960024   0677                        
0015923062315046               010101711082961024   0677                        
0015923062316020               010101711082962023   0698                        
0015923062317016               010101709042963024   0676                        
0015923062318046               010101709052964023   0716                        
0015923062319049               010101607052965022   0705                        
0015923062320049               010101607052967021   0725                        
0015923062321016               010101605042969021   0753                        
0015923062322                  010101605042970021   0757                        
